Description	GTEX-1117F-0226-SM-5GZZ7	GTEX-111CU-1826-SM-5GZYN	GTEX-111FC-0226-SM-5N9B8	GTEX-111VG-2326-SM-5N9BK	GTEX-111YS-2426-SM-5GZZQ	GTEX-1122O-2026-SM-5NQ91	GTEX-1128S-2126-SM-5H12U	GTEX-113IC-0226-SM-5HL5C	GTEX-117YX-2226-SM-5EGJJ	GTEX-11DXW-0326-SM-5H11W	GTEX-11DXX-2326-SM-5Q5A2	GTEX-11DZ1-0226-SM-5A5KF	GTEX-11EI6-0226-SM-5EQ64	GTEX-11EM3-2326-SM-5H12B	GTEX-11EMC-2826-SM-5PNY6	GTEX-11EQ8-0226-SM-5EQ5G	GTEX-11EQ9-2526-SM-5HL66	GTEX-11GS4-2626-SM-5A5LD	GTEX-11GSO-2326-SM-5A5LX	GTEX-11H98-0226-SM-5NQ89	GTEX-11I78-2626-SM-5Q5AI	GTEX-11LCK-1126-SM-5A5KC	GTEX-11O72-0226-SM-59869	GTEX-11OF3-2426-SM-5Q5AS	GTEX-11ONC-2526-SM-5986W	GTEX-11P7K-2026-SM-5GU74	GTEX-11P81-2426-SM-5GU65	GTEX-11P82-1726-SM-5Q5AT	GTEX-11PRG-0626-SM-5BC56	GTEX-11TT1-2426-SM-5EQMK	GTEX-11TTK-0226-SM-5N9EC	GTEX-11TUW-2626-SM-5EQKZ	GTEX-11UD1-0226-SM-5EQKL	GTEX-11UD2-0126-SM-5EQL2	GTEX-11WQC-2426-SM-5EQKQ	GTEX-11XUK-2126-SM-5EQLR	GTEX-11ZTS-0226-SM-5EQKD	GTEX-11ZTT-2526-SM-5EQM9	GTEX-11ZU8-2426-SM-5EQMV	GTEX-11ZUS-0726-SM-59886	GTEX-11ZVC-2626-SM-5FQTA	GTEX-1211K-2226-SM-5FQU6	GTEX-12126-0426-SM-5Q5AP	GTEX-1212Z-2426-SM-5EQ5D	GTEX-12584-0226-SM-5EQL5	GTEX-12696-2526-SM-5EQLN	GTEX-1269C-2726-SM-5EGJ4	GTEX-12C56-1626-SM-5FQUO
RP4-669L17.10	0.2067	0.1383	0.3149	0.3116	0.454	0.3104	0.2253	0.3278	0.1541	0.2367	0.1456	0.2872	0.1278	0.1208	0.7704	0.2174	0.132	0.4404	0.5228	0.1438	0.1648	0.4202	0.1746	0.4765	0.1279	0.2734	0.3402	0.1401	0.2588	0.1691	0.515	0.1123	0.1552	0.221	0.1154	0.1147	0.5424	0.28	0.3102	0.302	0.3828	0.2389	0.06804	0.1928	0.09901	0.2459	0.2463	0.2383
RP4-669L17.8	0.2375	0.1908	0.2772	0.3069	1.043	0	0.6079	0	0.4781	0	0	0	0.1762	0.147	0.249	0.6132	0.3413	0.3503	0.5793	0	0.3409	0.4074	0.3439	0.1699	0.3112	0.5516	0.335	0	0.446	0.1943	0.3897	0.3319	0.8918	0.7619	0	0.339	0	0	0.3775	0.5206	0.3167	0.2148	0.4021	0.3191	0.2926	0.5217	0.4631	0.2628
CICP7	0.1255	0.121	0.07326	0.03244	0.03676	0.01616	0.04284	0.08688	0.0674	0.07963	0.03183	0.1157	0.2049	0.1243	0.03948	0.2809	0.0902	0.1111	0.1429	0.05549	0.03604	0.1005	0.1091	0.01796	0.1151	0.2041	0.1948	0.04595	0.1886	0.02054	0.1511	0.03508	0.1508	0.06041	0.05822	0.07167	0.07412	0.1045	0.0399	0.07338	0.1004	0.02271	0.06376	0.06746	0.1082	0.05515	0.1469	0.0903
RP4-669L17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0.04966	0	0	0	0.1194	0	0.05348	0	0	0	0	0	0.07652	0.0324	0.1064	0.04442	0.04559	0.1005	0	0.04437	0	0.08952	0	0.08101	0	0.04361	0	0.05805	0.05057	0.06763	0.08639	0	0.04958	0	0	0.04563	0	0.1474	0.09034	0	0	0.05233	0.08305	0.03808	0.0679	0.08036	0
WBP1LP7	0	0.1361	0.09889	0.1095	0	0	0	0.1466	0	0	0	0	0	0	0	0.2917	0	0	0	0.1248	0	0.09689	0	0	0	0	0	0	0	0	0.1854	0	0.1273	0	0	0.1209	0	0.1008	0	0.2476	0.113	0.1533	0	0.2276	0	0	0	0.09376
AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.2	0	0	0	0.1201	0.1361	0	0	0.3215	0.1247	0.1474	0	0.1223	0.1379	0	0	0	0	0.2741	0	0	0	0.2125	0.2691	0	0.2435	0	0	0.2268	0	0	0.2033	0	0	0	0	0	0	0	0.1477	0	0.1239	0	0	0	0	0	0.1208	0.1028
RP5-857K21.15	0.2729	0	0.2124	0.1176	0.1332	0.05857	0.1553	0.1574	0.1221	0.1443	0	0.05989	0.135	0.1126	0.09539	0.1566	0	0.06711	0.07398	0	0.0653	0.05203	0.1318	0.0651	0.05962	0	0.06418	0	0.08545	0.07443	0.04977	0.1272	0	0.07298	0.2813	0	0.06716	0.1082	0.07231	0.133	0.1213	0.0823	0.07703	0	0.1121	0.09995	0.1183	0.02517
RP4-669L17.1	0.4792	0.385	0.09323	0	0.2339	0.2057	0.1363	0	0.5361	0.2534	0.2026	0.6309	0.1185	0.1978	0.4187	0.1375	0.2296	0.4713	0.3897	0.3531	0.2293	0.09136	0.2313	0.2286	0.1047	0.3711	0.3381	0.09748	0.15	0	0.437	0.1116	0.36	0.1281	0.6175	0.114	0.3538	0.3801	0.127	0.1167	0.213	0	0	0.2146	0	0.1755	0.4153	0.1326
RP5-857K21.1	0.07304	0	0.1705	0.09439	0.107	0.04702	0.3116	0.1264	0.2451	0.4055	0.3242	0.1923	0	0.1356	0.6127	0.06287	0.21	0.1078	0.5346	0.1615	0.3146	0.1671	0.05289	0.1045	0.04786	0	0	0	0.0686	0.239	0.1199	0.2042	0.05487	0.293	0.05647	0.2086	0.05392	0.04344	0.1161	0.1068	0.0487	0.2643	0	0	0.135	0.3611	0.2849	0.1213
RP5-857K21.2	0	0	0	0.3602	0.2721	0	0	0	0.1247	0	0	0	0.1379	0.23	0	0.3199	0.1335	0.1371	0.3022	0.1369	0.1334	0.2125	0	0.133	0.2435	0	0	0	0.1745	0	0	0	0	0	0	0.2653	0	0.1105	0.1477	0.2716	0	0	0	0.1248	0	0.1021	0	0.1028
RP5-857K21.3	0	0	0.1072	0.1186	0	0	0	0.3177	0.3697	0	0	0.1209	0	0	0	0	0.1319	0	0.1493	0	0	0.315	0	0.1314	0.2406	0	0	0.112	0	0	0	0	0	0.4418	0	0	0	0.1092	0	0	0	0	0.1554	0.1233	0	0	0	0.1016
